t	bincall	amcall	binput	amput
0.002739726	10.56926989	10.56926989	0.454423107	0.454587617
0.010958904	13.0588011	13.0588011	2.839444315	2.844063076
0.019178082	15.08986898	15.08986898	4.766047711	4.774243186
0.02739726	16.71927593	16.71927593	6.291035673	6.303023565
0.035616438	18.12076865	18.12076865	7.588154877	7.604349821
0.043835616	19.37020191	19.37020191	8.73326009	8.754524467
0.052054795	20.50881259	20.50881259	9.767588146	9.79604106
0.060273973	21.56198072	21.56198072	10.71651908	10.7622307
0.068493151	22.65007162	22.65007162	11.70041818	11.76219076
0.076712329	23.69646368	23.69646368	12.64266382	12.71224747
0.084931507	24.68975267	24.68975267	13.53185173	13.60927613
0.093150685	25.63743377	25.63743377	14.37547711	14.4607698
0.101369863	26.54538088	26.54538088	15.17941381	15.27260059
0.109589041	27.41829913	27.41829913	15.94836695	16.04947209
0.117808219	28.26002693	28.26002693	16.68617492	16.79525878
0.126027397	29.07374448	29.07374448	17.39601789	17.51356109
0.134246575	29.86212181	29.86212181	18.0805659	18.20664023
0.142465753	30.62742671	30.62742671	18.74208668	18.87671983
0.150684932	31.37160477	31.37160477	19.38252582	19.52574406
0.15890411	32.09634019	32.09634019	20.00356752	20.15539583
0.167123288	32.80310251	32.80310251	20.60668126	20.7671435
0.175342466	33.49318308	33.49318308	21.19315841	21.36227738
0.183561644	34.16772402	34.16772402	21.76414103	21.94193861
0.191780822	34.82774129	34.82774129	22.3206451	22.50714228
0.2	35.47414344	35.47414344	22.86357913	23.05879613
0.208219178	36.10774691	36.10774691	23.39375953	23.59771582
0.216438356	36.72928856	36.72928856	23.91192317	24.12470864
0.224657534	37.33943622	37.33943622	24.41873783	24.64039582
0.232876712	37.9387974	37.9387974	24.91481102	25.14536026
0.24109589	38.52792666	38.52792666	25.40069727	25.64015591
0.249315068	39.10733189	39.10733189	25.87690446	26.12529008
0.257534247	39.67747963	39.67747963	26.3438991	26.60122874
0.265753425	40.23879967	40.23879967	26.80211097	27.06845034
0.273972603	40.79168896	40.79168896	27.25193699	27.52764245
0.282191781	41.33651504	41.33651504	27.69374468	27.97883565
0.290410959	41.87361901	41.87361901	28.12787515	28.42285425
0.298630137	42.40331816	42.40331816	28.55464563	28.85957156
0.306849315	42.92590818	42.92590818	28.97435181	29.28924639
0.315068493	43.44166521	43.44166521	29.38726981	29.71215423
0.323287671	43.95084761	43.95084761	29.79365797	30.12855281
0.331506849	44.45369751	44.45369751	30.1937584	30.53868368
0.339726027	44.95044223	44.95044223	30.58779839	30.94277359
0.347945205	45.4412955	45.4412955	30.97599166	31.34103574
0.356164384	45.92645857	45.92645857	31.35853946	31.73367089
0.364383562	46.40612126	46.40612126	31.73563156	32.12086834
0.37260274	46.8804628	46.8804628	32.10744717	32.50280687
0.380821918	47.34965265	47.34965265	32.47415575	32.87965549
0.389041096	47.81385126	47.81385126	32.83591773	33.25157423
0.397260274	48.2732107	48.2732107	33.19288515	33.61871475
0.405479452	48.72787529	48.72787529	33.54520231	33.98122096
0.41369863	49.17798212	49.17798212	33.89300629	34.33922957
0.421917808	49.62366157	49.62366157	34.23642745	34.69287061
0.430136986	50.06503775	50.06503775	34.57558985	35.04226781
0.438356164	50.5022289	50.5022289	34.91061176	35.3875423
0.446575342	50.93534782	50.93534782	35.24160593	35.72913468
0.454794521	51.36450217	51.36450217	35.56868001	36.06682336
0.463013699	51.78979483	51.78979483	35.89193686	36.40071084
0.471232877	52.21132416	52.21132416	36.21147481	36.73089515
0.479452055	52.62918429	52.62918429	36.52738799	37.05747006
0.487671233	53.0434654	53.0434654	36.83976654	37.38052541
0.495890411	53.45425388	53.45425388	37.14869685	37.70014729
0.504109589	53.86163263	53.86163263	37.45426178	38.01641828
0.512328767	54.26568119	54.26568119	37.75654087	38.32941761
0.520547945	54.66647597	54.66647597	38.05561051	38.63922142
0.528767123	55.06409041	55.06409041	38.35154411	38.94590284
0.536986301	55.45859514	55.45859514	38.64441228	39.24953224
0.545205479	55.85005811	55.85005811	38.93428295	39.55017729
0.553424658	56.23854477	56.23854477	39.22122156	39.84790318
0.561643836	56.62411817	56.62411817	39.50529113	40.1427727
0.569863014	57.00683906	57.00683906	39.78655241	40.43484638
0.578082192	57.38676609	57.38676609	40.06506401	40.72418259
0.58630137	57.7639558	57.7639558	40.34088246	41.01097061
0.594520548	58.13846282	58.13846282	40.61406237	41.29563452
0.602739726	58.5103399	58.5103399	40.88465647	41.57772738
0.610958904	58.87963803	58.87963803	41.15271573	41.8572999
0.619178082	59.24640651	59.24640651	41.41828944	42.1344555
0.62739726	59.61069304	59.61069304	41.68142526	42.40933512
0.635616438	59.97254376	59.97254376	41.94216933	42.68183791
0.643835616	60.33200336	60.33200336	42.20056631	42.95200827
0.652054795	60.68911514	60.68911514	42.45665949	43.21988922
0.660273973	61.04392103	61.04392103	42.71049078	43.48552244
0.668493151	61.3964617	61.3964617	42.96210081	43.74894834
0.676712329	61.74677658	61.74677658	43.21152902	44.01053818
0.684931507	62.09490393	62.09490393	43.45881364	44.27034003
0.693150685	62.44088088	62.44088088	43.70399177	44.52805108
0.701369863	62.78474347	62.78474347	43.94709945	44.78370709
0.709589041	63.12652672	63.12652672	44.18817166	45.03734281
0.717808219	63.46626465	63.46626465	44.42724242	45.28899198
0.726027397	63.80399031	63.80399031	44.66434475	45.5386874
0.734246575	64.13973585	64.13973585	44.89951078	45.78646094
0.742465753	64.47353252	64.47353252	45.13277175	46.03234361
0.750684932	64.80541074	64.80541074	45.36415805	46.27636559
0.75890411	65.1354001	65.1354001	45.59369926	46.51855621
0.767123288	65.4635294	65.4635294	45.82142416	46.75894404
0.775342466	65.78982671	65.78982671	46.04736079	46.99755692
0.783561644	66.11431933	66.11431933	46.27153646	47.23442192
0.791780822	66.4370339	66.4370339	46.49397775	47.46956545
