190	43.89008755	43.91268911
192	43.78567208	43.80714984
194	43.69985413	43.720389
196	43.63236332	43.65195244
198	43.58293492	43.60158944
200	43.55130965	43.56904827
202	43.53723357	43.55405371
204	43.54045791	43.55635707
206	43.56073897	43.57578815
208	43.59783791	43.61229292
210	43.6515207	43.66537981
212	43.72155794	43.73481948
214	43.80772478	43.82038711
216	43.90980076	43.92186228
218	44.02756971	44.03914258
220	44.16081969	44.17191389
222	44.30934278	44.31995703
224	44.47293507	44.48306813
226	44.65139652	44.66104718
228	44.84453088	44.85369794
230	45.05214555	45.06086162
232	45.27405157	45.28241809
234	45.51006344	45.51807954
236	45.75999912	45.7676773
238	46.02367988	46.03102081
240	46.30093026	46.30793314
242	46.59157798	46.59824203
244	46.89545385	46.9017783
246	47.21239172	47.2183921
248	47.54222841	47.54792528
250	47.8848036	47.89019631
252	48.23995982	48.24504773
254	48.60754235	48.61240956
256	48.98739915	48.99205386
258	49.37938084	49.38382258
260	49.78334059	49.78760308
262	50.19913409	50.20324107
264	50.62661949	50.63057061
266	51.06565734	51.06945226
268	51.51611056	51.51974894
270	51.97784435	51.98132587
272	52.45072614	52.45405048
274	52.93462561	52.93779245
276	53.42941453	53.43242359
278	53.93496684	53.93781927
280	54.45115848	54.4539193
282	54.97786744	54.98053835
284	55.51497367	55.51755449
286	56.06235906	56.0648496
288	56.6199074	56.62230746
290	57.18750429	57.18981371
292	57.76503719	57.76725579
294	58.35239531	58.35453555
296	58.9494696	58.95153552
298	59.55615273	59.55814418
300	60.17233901	60.17425585
