n	Monte-Carlo	Black-Scholes
10	8.080535617	10.02906298
20	6.798030457	10.02906298
30	6.086327908	10.02906298
40	7.486076547	10.02906298
50	8.835322504	10.02906298
60	8.885620529	10.02906298
70	8.443937516	10.02906298
80	8.780642919	10.02906298
90	8.760766405	10.02906298
100	8.996715282	10.02906298
110	8.540788452	10.02906298
120	8.25117252	10.02906298
130	8.453843898	10.02906298
140	7.961670961	10.02906298
150	7.722862844	10.02906298
160	7.742548643	10.02906298
170	7.73290828	10.02906298
180	8.312605242	10.02906298
190	9.013006382	10.02906298
200	9.113246796	10.02906298
210	9.147683418	10.02906298
220	9.218610382	10.02906298
230	8.970662865	10.02906298
240	8.791054095	10.02906298
250	8.932501526	10.02906298
260	8.874174099	10.02906298
270	8.857844551	10.02906298
280	9.135126906	10.02906298
290	9.019659801	10.02906298
300	8.907655952	10.02906298
310	9.12334314	10.02906298
320	9.154255936	10.02906298
330	9.239525595	10.02906298
340	9.487628858	10.02906298
350	9.448243005	10.02906298
360	9.581534051	10.02906298
370	9.509452087	10.02906298
380	9.52037227	10.02906298
390	9.646325361	10.02906298
400	9.538668224	10.02906298
410	9.630750818	10.02906298
420	9.494421125	10.02906298
430	9.488914212	10.02906298
440	9.393836217	10.02906298
450	9.355996609	10.02906298
460	9.453232359	10.02906298
470	9.568228565	10.02906298
480	9.527776242	10.02906298
490	9.363217803	10.02906298
500	9.304379641	10.02906298
510	9.181720276	10.02906298
520	9.261341603	10.02906298
530	9.31838555	10.02906298
540	9.470229947	10.02906298
550	9.469359265	10.02906298
560	9.409185014	10.02906298
570	9.319689486	10.02906298
580	9.283864954	10.02906298
590	9.402291005	10.02906298
600	9.490282698	10.02906298
610	9.662654006	10.02906298
620	9.598163896	10.02906298
630	9.603041139	10.02906298
640	9.577923937	10.02906298
650	9.565357596	10.02906298
660	9.610189362	10.02906298
670	9.564592837	10.02906298
680	9.630722102	10.02906298
690	9.594065161	10.02906298
700	9.618815764	10.02906298
710	9.653574589	10.02906298
720	9.704933832	10.02906298
730	9.592534469	10.02906298
740	9.588111267	10.02906298
750	9.528581678	10.02906298
760	9.507333854	10.02906298
770	9.546165819	10.02906298
780	9.493727693	10.02906298
790	9.463890229	10.02906298
800	9.433879217	10.02906298
810	9.458916384	10.02906298
820	9.531535068	10.02906298
830	9.537202967	10.02906298
840	9.589031719	10.02906298
850	9.613431683	10.02906298
860	9.611942202	10.02906298
870	9.562477822	10.02906298
880	9.510921702	10.02906298
890	9.42281886	10.02906298
900	9.373329608	10.02906298
910	9.29639301	10.02906298
920	9.298885869	10.02906298
930	9.312786651	10.02906298
940	9.30947569	10.02906298
950	9.376732052	10.02906298
960	9.322505566	10.02906298
970	9.466678846	10.02906298
980	9.444724705	10.02906298
990	9.470726225	10.02906298
1000	9.394622003	10.02906298
1010	9.418693366	10.02906298
1020	9.46784894	10.02906298
1030	9.405194963	10.02906298
1040	9.434603875	10.02906298
1050	9.528375621	10.02906298
1060	9.558281691	10.02906298
1070	9.630098802	10.02906298
1080	9.563968509	10.02906298
1090	9.551312279	10.02906298
1100	9.504420194	10.02906298
1110	9.448619953	10.02906298
1120	9.558723834	10.02906298
1130	9.535817102	10.02906298
1140	9.566536383	10.02906298
1150	9.506384617	10.02906298
1160	9.592771284	10.02906298
1170	9.567131197	10.02906298
1180	9.558755047	10.02906298
1190	9.583552296	10.02906298
1200	9.565676821	10.02906298
1210	9.55053672	10.02906298
1220	9.521143281	10.02906298
1230	9.554684088	10.02906298
1240	9.512513271	10.02906298
1250	9.480239909	10.02906298
1260	9.517126729	10.02906298
1270	9.543204324	10.02906298
1280	9.548662495	10.02906298
1290	9.547673155	10.02906298
1300	9.506993036	10.02906298
1310	9.4858786	10.02906298
1320	9.50024496	10.02906298
1330	9.524161328	10.02906298
1340	9.507181003	10.02906298
1350	9.486093169	10.02906298
1360	9.516960479	10.02906298
1370	9.52111911	10.02906298
1380	9.519234056	10.02906298
1390	9.506878969	10.02906298
1400	9.487549607	10.02906298
1410	9.453204688	10.02906298
1420	9.462048304	10.02906298
1430	9.47277152	10.02906298
1440	9.457088714	10.02906298
1450	9.446810795	10.02906298
1460	9.435858331	10.02906298
1470	9.408703303	10.02906298
1480	9.406625472	10.02906298
1490	9.426761608	10.02906298
1500	9.412615469	10.02906298
1510	9.39793278	10.02906298
1520	9.36405538	10.02906298
1530	9.438566557	10.02906298
1540	9.396603107	10.02906298
1550	9.365156881	10.02906298
1560	9.348938207	10.02906298
1570	9.337797471	10.02906298
1580	9.380616565	10.02906298
1590	9.368253237	10.02906298
1600	9.36010685	10.02906298
1610	9.320386149	10.02906298
1620	9.312104894	10.02906298
1630	9.307826742	10.02906298
1640	9.293570942	10.02906298
1650	9.278965038	10.02906298
1660	9.264747595	10.02906298
1670	9.216539046	10.02906298
1680	9.228734413	10.02906298
1690	9.234593317	10.02906298
1700	9.233921725	10.02906298
1710	9.263673086	10.02906298
1720	9.264504679	10.02906298
1730	9.265863796	10.02906298
1740	9.319063237	10.02906298
1750	9.328598559	10.02906298
1760	9.308318113	10.02906298
1770	9.329897713	10.02906298
1780	9.374906237	10.02906298
1790	9.369012837	10.02906298
1800	9.405466027	10.02906298
1810	9.433112385	10.02906298
1820	9.427974381	10.02906298
1830	9.419842583	10.02906298
1840	9.431231455	10.02906298
1850	9.448519692	10.02906298
1860	9.463641401	10.02906298
1870	9.51040656	10.02906298
1880	9.495565727	10.02906298
1890	9.480010093	10.02906298
1900	9.451912616	10.02906298
1910	9.47253813	10.02906298
1920	9.490892736	10.02906298
1930	9.482919122	10.02906298
1940	9.452080405	10.02906298
1950	9.444692573	10.02906298
1960	9.457047606	10.02906298
1970	9.477962361	10.02906298
1980	9.526302895	10.02906298
1990	9.526464074	10.02906298
2000	9.52222554	10.02906298
2010	9.498004236	10.02906298
2020	9.486616227	10.02906298
2030	9.47768667	10.02906298
2040	9.469018246	10.02906298
2050	9.463171735	10.02906298
2060	9.474919587	10.02906298
2070	9.488049264	10.02906298
2080	9.478359343	10.02906298
2090	9.461356392	10.02906298
2100	9.451608332	10.02906298
2110	9.428529823	10.02906298
2120	9.409437417	10.02906298
2130	9.42304008	10.02906298
2140	9.448642581	10.02906298
2150	9.447303843	10.02906298
2160	9.443891079	10.02906298
2170	9.430053359	10.02906298
2180	9.416456604	10.02906298
2190	9.429410075	10.02906298
2200	9.445481126	10.02906298
2210	9.440105414	10.02906298
2220	9.462777018	10.02906298
2230	9.445195316	10.02906298
2240	9.469299031	10.02906298
2250	9.473494589	10.02906298
2260	9.472404387	10.02906298
2270	9.434528462	10.02906298
2280	9.443598666	10.02906298
2290	9.426174615	10.02906298
2300	9.459114082	10.02906298
2310	9.479750634	10.02906298
2320	9.486081793	10.02906298
2330	9.503705139	10.02906298
2340	9.489743713	10.02906298
2350	9.465247888	10.02906298
2360	9.440835293	10.02906298
2370	9.422730988	10.02906298
2380	9.400028118	10.02906298
2390	9.373805027	10.02906298
2400	9.35739087	10.02906298
2410	9.341899629	10.02906298
2420	9.336702673	10.02906298
2430	9.35019912	10.02906298
2440	9.337571076	10.02906298
2450	9.371043486	10.02906298
2460	9.372998551	10.02906298
2470	9.391077361	10.02906298
2480	9.373845148	10.02906298
2490	9.389733785	10.02906298
2500	9.38601479	10.02906298
2510	9.41164966	10.02906298
2520	9.405793503	10.02906298
2530	9.382921844	10.02906298
2540	9.375915806	10.02906298
2550	9.365525589	10.02906298
2560	9.384991976	10.02906298
2570	9.382476908	10.02906298
2580	9.401232946	10.02906298
2590	9.41078763	10.02906298
2600	9.396071796	10.02906298
2610	9.421221514	10.02906298
2620	9.403676356	10.02906298
2630	9.40833749	10.02906298
2640	9.426310532	10.02906298
2650	9.419824427	10.02906298
2660	9.448720463	10.02906298
2670	9.429246019	10.02906298
2680	9.432367257	10.02906298
2690	9.448143972	10.02906298
2700	9.4747898	10.02906298
2710	9.458295056	10.02906298
2720	9.49021085	10.02906298
2730	9.511523117	10.02906298
2740	9.500577922	10.02906298
2750	9.505934862	10.02906298
2760	9.492729976	10.02906298
2770	9.500732078	10.02906298
2780	9.509517545	10.02906298
2790	9.520061811	10.02906298
2800	9.541199063	10.02906298
2810	9.528264876	10.02906298
2820	9.525943681	10.02906298
2830	9.520579601	10.02906298
2840	9.495472585	10.02906298
2850	9.495201899	10.02906298
2860	9.516470649	10.02906298
2870	9.501639553	10.02906298
2880	9.509562925	10.02906298
2890	9.519408436	10.02906298
2900	9.505161923	10.02906298
2910	9.488726942	10.02906298
2920	9.545728427	10.02906298
2930	9.581304854	10.02906298
2940	9.57691947	10.02906298
2950	9.564092541	10.02906298
2960	9.583568796	10.02906298
2970	9.589732499	10.02906298
2980	9.583686732	10.02906298
2990	9.585922814	10.02906298
3000	9.593221455	10.02906298
3010	9.585787987	10.02906298
3020	9.582124031	10.02906298
3030	9.558263522	10.02906298
3040	9.539177452	10.02906298
3050	9.529928662	10.02906298
3060	9.533152361	10.02906298
3070	9.536868103	10.02906298
3080	9.549674681	10.02906298
3090	9.544909751	10.02906298
3100	9.550198837	10.02906298
3110	9.54587352	10.02906298
3120	9.556192388	10.02906298
3130	9.55440749	10.02906298
3140	9.576909521	10.02906298
3150	9.578927502	10.02906298
3160	9.570468184	10.02906298
3170	9.576596476	10.02906298
